Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
GMP,Korean,<=50,2,3,Leisure,99,2,1,2,3,2,3,1,35,1,2,14000,30,2,4
GMP,Korean,<=50,1,1,Business,2,2,1,2,3,2,3,1,53,1,2,20000,60,8,3
GMP,Korean,<=50,2,4,Leisure,99,2,1,2,4,2,3,1,36,1,2,23000,60,11,3
GMP,Korean,<=50,1,1,Leisure,7,0,1,2,1,2,3,1,30,1,5,1500,30,8,1
GMP,Korean,<=50,1,1,Business,7,1,1,2,2,2,3,1,40,1,5,1500,20,2,2
GMP,Korean,<=50,1,3,Leisure,5,1,1,2,2,2,3,1,40,1,5,1200,40,2,5
GMP,Korean,<=50,1,1,Business,7,1,1,2,6,1,2,1,42,1,1,10000,40,2,2
GMP,Korean,<=50,1,1,Business,3,0,1,2,2,2,2,1,53,1,2,12000,20,5,6
GMP,Korean,<=50,2,1,Leisure,3,11,1,2,0,2,2,1,36,1,1,5999,45,9,2
GMP,Korean,<=50,1,1,Leisure,3,3,1,2,4,3,1,1,30,1,3,1050,20,2,3
GMP,Korean,<=50,2,1,Business,2,0,1,1,1,1,1,1,50,1,5,1550,90,1,2
GMP,Korean,<=50,2,2,Leisure,7,1,1,2,1,1,2,1,34,1,5,1500,60,2,1
